# Documentation for CSBF data from test flight: 
# - 598N_back.txt: ascii; some header information then 8 columns with self
# explanatory column headings
# - 598N.txt: ascii; formatted for simpler reading into IDL; 12 columns; 
# First three columns correspond to the time column of the previous
# file, Longitude and latitude columns from previous file also separated
# to 4 columns; glitch removed from data.  
#
#  Column 0 = UT time (decimal hours); 
#  Column 1 = Local time (decimal hours); 
#  Column 2 = barometric altitude (ft)
#  Column 3 = MBS (don't know )
#  Column 4 = Air temp (C)
#  Column 5 = radiation temperate (C)
#  Column 6 = Latitude (Decimal degrees)
#  Column 7 = Longitude (Decimal degrees)
#  Column 8 = GPS altitude (m)
#
#4 12 812
# CIP DATA FLIGHT REPORT:
#  FLIGHT:  598N Science Group: HANANY/EBEX
#  DATE:  11-JUN-2009
#  TIME   BAR ALT    MBS     AIRT   DRAD      LAT      LON     GPS ALT
 17 02 59 113742.    5.88   -24.7   23.7    34 46.8 -104 14.4  35379.
 17 03 59 113860.    5.85   -21.0   23.7    34 46.8 -104 15.4  35414.
 17 04 59 114097.    5.79   -22.3   24.4    34 46.7 -104 16.4  35491.
 17 05 59 114336.    5.73   -17.0   24.4    34 46.7 -104 17.3  35570.
 17 06 59 114498.    5.69   -26.0   24.8    34 46.6 -104 18.2  35613.
 17 07 59 114538.    5.68   -25.7   24.4    34 46.5 -104 19.2  35634.
 17 08 59 114620.    5.66   -24.8   24.8    34 46.4 -104 20.1  35657.
 17 10 00 114783.    5.62   -22.0   25.2    34 46.3 -104 21.0  35705.
 17 11 00 115031.    5.56   -21.8   25.2    34 46.2 -104 21.9  35773.
 17 12 00 115197.    5.52   -20.4   26.0    34 46.0 -104 22.8  35830.
 17 13 00 115323.    5.49   -23.2   26.0    34 45.9 -104 23.8  35865.
 17 14 00 115407.    5.47   -23.2   26.5    34 45.7 -104 24.7  35884.
 17 15 00 115492.    5.45   -20.3   26.9    34 45.5 -104 25.6  35917.
 17 16 00 115620.    5.42   -24.1   26.9    34 45.3 -104 26.5  35956.
 17 17 00 115620.    5.42   -25.9   27.7    34 45.1 -104 27.4  35960.
 17 18 00 115535.    5.44   -27.3   27.7    34 45.0 -104 28.4  35932.
 17 19 00 115450.    5.46   -27.8   28.2    34 44.8 -104 29.3  35915.
 17 20 00 115620.    5.42   -23.7   28.6    34 44.6 -104 30.3  35954.
 17 21 00 115834.    5.37   -25.4   29.0    34 44.4 -104 31.2  36014.
 17 22 00 115834.    5.37   -25.5   29.5    34 44.2 -104 32.2  36024.
 17 23 00 115662.    5.41   -26.5   29.9    34 44.0 -104 33.1  35979.
 17 24 00 115620.    5.42   -25.6   30.4    34 43.8 -104 34.1  35955.
 17 25 00 115705.    5.40   -24.2   30.4    34 43.5 -104 35.1  35981.
 17 26 00 115748.    5.39   -26.4   31.4    34 43.3 -104 36.1  36002.
 17 27 00 115705.    5.40   -27.4   30.4    34 43.1 -104 37.1  35989.
 17 28 00 115705.    5.40   -27.3   29.9    34 42.9 -104 38.1  35983.
 17 29 00 115834.    5.37   -26.5   29.5    34 42.7 -104 39.1  36017.
 17 30 00 115877.    5.36   -25.6   29.5    34 42.4 -104 40.1  36042.
 17 31 00 115791.    5.38   -24.2   28.6    34 42.2 -104 41.1  36016.
 17 32 00 115705.    5.40   -23.6   28.6    34 42.0 -104 42.1  35988.
 17 33 01 115834.    5.37   -23.8   28.2    34 41.7 -104 43.1  36017.
 17 34 01 115964.    5.34   -23.9   27.7    34 41.5 -104 44.1  36064.
 17 35 01 115920.    5.35   -23.6   27.7    34 41.2 -104 45.1  36052.
 17 36 01 115705.    5.40   -23.3   27.7    34 41.0 -104 46.1  35999.
 17 37 01 115662.    5.41   -23.8   27.7    34 40.7 -104 47.1  35982.
 17 38 01 115705.    5.40   -23.4   27.7    34 40.5 -104 48.1  35995.
 17 39 01 115662.    5.41   -23.2   27.7    34 40.2 -104 49.1  35988.
 17 40 01 115620.    5.42   -24.9   27.7    34 39.9 -104 50.1  35976.
 17 41 01 115748.    5.39   -22.3   27.3    34 39.7 -104 51.1  35999.
 17 42 01 115834.    5.37   -14.2   27.7    34 39.4 -104 52.2  36041.
 17 43 01 115920.    5.35    -8.6   27.7    34 39.2 -104 53.2  36053.
 17 44 01 115791.    5.38    -8.2   27.3    34 39.0 -104 54.2  36026.
 17 45 01 115705.    5.40    -7.6   26.9    34 38.7 -104 55.2  35994.
 17 46 01 115748.    5.39    -9.3   26.9    34 38.5 -104 56.3  36003.
 17 47 01 115834.    5.37   -22.2   26.9    34 38.3 -104 57.3  36033.
 17 48 01 115877.    5.36   -22.6   26.9    34 38.1 -104 58.3  36048.
 17 49 01 115877.    5.36   -24.0   26.9    34 37.9 -104 59.4  36047.
 17 50 01 115877.    5.36   -19.4   28.2    34 37.7 -105 00.4  36041.
 17 51 01 115834.    5.37   -22.0   29.5    34 37.6 -105 01.4  36040.
 17 52 01 115791.    5.38   -23.6   29.5    34 37.4 -105 02.5  36017.
 17 53 01 115662.    5.41   -23.6   28.6    34 37.2 -105 03.5  35987.
 17 54 01 115620.    5.42   -26.3   28.2    34 37.1 -105 04.6  35977.
 17 55 01 115662.    5.41   -26.5   27.3    34 36.9 -105 05.7  35981.
 17 56 02 115577.    5.43   -26.3   26.5    34 36.8 -105 06.7  35961.
