# Title: BLAST: The Mass Function, Lifetimes, and Properties of Intermediate 
#        Mass Cores from a 50 Square Degree Submillimeter Galactic Survey 
#        in Vela (l ~ 265 degrees) 
# Authors: Netterfield C.B., Ade P.A.R., Bock J.J., Chapin E.L., Devlin M.J., 
#          Griffin M., Gundersen J.O., Halpern M., Hargrave P.C., Hughes D.H., 
#          Klein J., Marsden G., Martin P.G., Mauskopf P., Olmi L., Pascale E., 
#          Patanchon G., Rex M., Roy A., Scott D., Semisch C., Thomas N., 
#          Truch M.D.P., Tucker C., Tucker G.S., Viero M.P., Wiebe D.V. 
# Table: BLAST Vela Sources Measured Properties
# ================================================================================
# Byte-by-byte Description of file: apj314789t1_mrt.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units    Label    Explanations
# --------------------------------------------------------------------------------
#    1- 20 A20    ---      Name     Source name  
#   22- 29 F8.4   deg      GLON     Galactic longitude
#   31- 37 F7.4   deg      GLAT     Galactic latitude
#   39- 44 F6.1   Jy       F250     Flux density at 250 microns
#   46- 50 F5.1   Jy     e_F250     Uncertainty in F250  
#   52- 57 F6.1   Jy       F350     Flux density at 350 microns
#   59- 63 F5.1   Jy     e_F350     Uncertainty in F350  
#   65- 69 F5.1   Jy       F500     Flux density at 500 microns
#   71- 75 F5.1   Jy     e_F500     Uncertainty in F500  
#   77- 80 F4.1   arcsec   FWHM250  Full-Width at Half-Maximum at 250 microns
# --------------------------------------------------------------------------------
BLAST J084154-414441 261.5474  0.2423    5.0   0.6    3.6   0.5   1.9   0.4 47.9 
BLAST J084155-410235 260.9965  0.6769    5.5   0.9    3.9   0.7   2.1   0.5 50.3 
BLAST J084157-413454 261.4247  0.3500   10.1   1.7    7.3   1.4   3.9   1.0 67.8 
BLAST J084203-405828 260.9575  0.7384   11.0   1.7    8.2   1.4   4.0   0.9 65.9 
BLAST J084205-430839 262.6710 -0.5928    6.5   0.7    4.4   0.6   2.0   0.4 44.4 
BLAST J084211-421647 262.0006 -0.0466   15.1   1.8    9.0   1.3   4.0   0.8 60.6 
BLAST J084215-404406 260.7926  0.9162   41.6   4.8   17.1   3.0   5.9   1.9 67.1 
BLAST J084218-425336 262.4974 -0.4073   10.9   1.3    6.6   1.0   2.6   0.7 64.6 
BLAST J084219-421711 262.0212 -0.0312    4.7   0.6    2.6   0.5   1.0   0.4 41.3 
BLAST J084219-415229 261.6985  0.2245   18.4   2.1   12.7   1.7   5.8   1.0 62.1 
BLAST J084236-405409 260.9650  0.8649   11.9   1.3    8.3   1.1   4.3   0.7 41.4 
BLAST J084239-430908 262.7413 -0.5157    5.7   0.7    3.9   0.6   1.9   0.4 48.4 
BLAST J084241-403208 260.6845  1.1020    8.5   1.0    5.8   0.8   3.2   0.5 45.7 
BLAST J084250-411352 261.2498  0.6954   10.6   1.3    7.4   1.1   3.4   0.7 57.1 
BLAST J084253-403026 260.6859  1.1495   11.0   1.5    7.2   1.2   3.5   0.8 61.2 
BLAST J084254-411429 261.2672  0.7009   14.4   1.9   12.2   1.6   6.0   1.0 58.5 
BLAST J084257-403512 260.7561  1.1103   13.1   1.7    8.8   1.4   3.5   0.9 62.0 
BLAST J084300-403430 260.7538  1.1264   14.0   1.8    9.9   1.5   4.3   0.9 62.9 
BLAST J084303-420535 261.9535  0.1962    7.7   1.1    6.8   1.0   3.6   0.7 54.4 
BLAST J084306-411438 261.2914  0.7280   24.2   3.4   16.2   2.8   8.2   1.8 70.3 
BLAST J084308-444807 264.0930 -1.4660    5.2   0.8    4.1   0.6   2.0   0.4 48.3 
BLAST J084310-410215 261.1363  0.8646   29.8   4.3   18.3   3.4   9.0   2.2 71.5 
BLAST J084314-411610 261.3274  0.7322   36.3   4.8   20.9   3.7   8.7   2.4 59.9 
BLAST J084316-421359 262.0873  0.1399    3.4   0.6    3.1   0.5   1.6   0.4 43.0 
BLAST J084317-421850 262.1532  0.0927   58.4   8.9   45.3   7.6  24.9   5.1 82.7 
BLAST J084317-405215 261.0189  0.9851   39.6   4.9   25.8   3.9  11.5   2.3 77.6 
BLAST J084317-411138 261.2741  0.7868    5.6   1.1    5.2   0.9   2.9   0.6 51.6 
BLAST J084319-412816 261.4942  0.6184   10.3   1.5    7.4   1.2   3.8   0.8 57.9 
BLAST J084319-411702 261.3487  0.7362   39.7   5.5   26.3   4.4   9.9   2.7 73.3 
BLAST J084324-411647 261.3552  0.7509   29.4   3.4   19.9   2.8   9.0   1.6 52.4 
BLAST J084326-410942 261.2660  0.8284   34.0   4.2   19.0   3.1   8.9   2.0 45.1 
BLAST J084329-415809 261.9062  0.3365   10.7   1.7    8.1   1.4   4.2   1.0 67.3 
BLAST J084331-412025 261.4157  0.7302    6.2   1.3    3.7   1.0   1.4   0.7 50.6 
BLAST J084332-405036 261.0263  1.0390   10.7   1.5    8.2   1.2   4.8   0.8 39.9 
BLAST J084332-405134 261.0397  1.0297   60.4   9.5   39.6   7.6  20.1   5.2 68.3 
BLAST J084336-411423 261.3460  0.8040    8.7   1.1    4.7   0.8   1.6   0.6 55.5 
BLAST J084340-411650 261.3866  0.7894    8.3   1.0    6.7   0.9   3.1   0.5 45.6 
BLAST J084341-411420 261.3551  0.8171   27.5   3.4   13.1   2.3   4.2   1.5 68.2 
BLAST J084342-445520 264.2511 -1.4594    6.4   0.7    3.1   0.5   1.3   0.3 46.3 
BLAST J084343-410825 261.2819  0.8832    4.6   1.0    2.7   0.7   1.0   0.6 39.1 
BLAST J084344-405056 261.0553  1.0665   40.3   5.7   29.4   4.8  13.3   3.0 60.0 
BLAST J084346-411505 261.3754  0.8226   24.9   4.1   10.3   3.1   3.6   2.2 66.2 
BLAST J084350-405056 261.0672  1.0816   32.1   4.4   24.6   3.8  10.2   2.2 72.0 
BLAST J084351-424224 262.5268 -0.0677   15.4   2.0   10.1   1.6   5.0   1.0 60.1 
BLAST J084355-411756 261.4303  0.8153    9.4   2.1    3.9   1.8   1.4   1.4 44.9 
BLAST J084357-413245 261.6270  0.6659   23.0   3.5   13.1   2.7   4.6   1.8 82.5 
BLAST J084358-415712 261.9489  0.4160   11.0   2.0    7.3   1.6   3.4   1.1 60.1 
BLAST J084400-411638 261.4213  0.8391   18.7   2.7   12.4   2.1   6.4   1.4 38.0 
BLAST J084400-405059 261.0873  1.1059   14.2   2.6    8.8   2.1   3.7   1.5 58.0 
BLAST J084405-411604 261.4250  0.8588  167.8  20.0   82.5  13.5  32.6   7.9 69.8 
BLAST J084409-411516 261.4208  0.8752   21.4   4.5    8.3   3.5   2.9   3.0 48.3 
BLAST J084417-413223 261.6604  0.7180    8.8   1.4    5.4   1.1   2.3   0.7 53.1 
