MAY|0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23| LT
   | C|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.35-13:00, anti-moon is towards GP  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
03 |  |  | J|JJ|JJ|  |  |  |JJ|JJ|  |  |  |  |SS|S |  |  |  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.30-13:00, anti-moon is towards GP  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
04 |  |  |JJ|JJ|JJ|  |  | J|JJ|JJ|  |  |  |  |SS|SS|S |  |  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  |GG|    GP avail 23.25-13:00 
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
05 |  |  |JJ|JJ|JJ|  |  | J|JJ|JJ|  |  |  |  |SS|SS|SS|S |  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  |GG|    GP avail 23.25-13:00 
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
06 |  |  |  |  |  |  |  | J|JJ|J |  |  |  |  |SS|SS|SS|SS|  |  |  |  |  |  |    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.30-13:00 
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
07 |  |  |  |  |  |  |  |JJ|JJ|J |  |  |  |  |SS|SS|SS|SS|  |  | S|SS|SS|SS|    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  | C|  
   |GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.40-13:00 
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
08 |  |  |  |  |  |  |  |JJ|JJ|J |  |  |  |  |SS|SS|SS|SS|  |  | S|SS|SS|SS|    
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  | C|  
   |GG|GG|GG|GG|GG|**|**|*G|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.40-13:00, at 5am-7.15am anti-sun and anti moon are in conflict.
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
09 |  |  |  |  |  |  |  | J|JJ|J |  |  |  |  |SS|SS|SS|SS|  |  |  |SS|SS|SS|
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  | C|  
   |GG|GG|GG|GG|G*|**|**|**|GG|GG|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.45-13:00, at 4.55am-8.00am anti-sun and anti moon are in conflict.
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
10 |  |  |  |  |  |  |  | J|JJ|J |  |  |  |  |SS|SS|SS|SS|  |  |  |SS|SS|SS|
   |CC|CC|CC|CC|CC|  |  |  |  |  |CC|CC|CC|  |  |  |  |  |  |  |  |  |  | C|  
   |GG|GG|GG|GG|G*|**|**|**|**|*G|GG|GG|GG|  |  |  |  |  |  |  |  |  |  | G|    GP avail 23.45-13:00, at 4.55am-9.15am anti-sun and anti moon are in conflict.
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  


